t,VA,VB,VC,IA,IB,IC   
 0.000000e+000, 7.760751e-001,-3.883830e-001,-3.867169e-001, 2.913855e-003,-1.321277e-002, 1.032224e-002
 6.410000e-007, 7.760745e-001,-3.882201e-001,-3.868797e-001, 2.917126e-003,-1.321380e-002, 1.032000e-002
 1.282000e-006, 7.760738e-001,-3.880571e-001,-3.870425e-001, 2.920397e-003,-1.321484e-002, 1.031777e-002
 1.923000e-006, 7.760730e-001,-3.878942e-001,-3.872052e-001, 2.923667e-003,-1.321587e-002, 1.031553e-002
 2.564000e-006, 7.760722e-001,-3.877312e-001,-3.873680e-001, 2.926937e-003,-1.321690e-002, 1.031329e-002
 3.205000e-006, 7.760714e-001,-3.875681e-001,-3.875307e-001, 2.930207e-003,-1.321793e-002, 1.031106e-002
 3.846000e-006, 7.760705e-001,-3.874051e-001,-3.876934e-001, 2.933477e-003,-1.321897e-002, 1.030882e-002
 4.487000e-006, 7.760696e-001,-3.872420e-001,-3.878560e-001, 2.936747e-003,-1.322000e-002, 1.030658e-002
 5.128000e-006, 7.760686e-001,-3.870790e-001,-3.880187e-001, 2.940017e-003,-1.322103e-002, 1.030434e-002
 5.769000e-006, 7.760676e-001,-3.869159e-001,-3.881813e-001, 2.943286e-003,-1.322205e-002, 1.030210e-002
 6.410000e-006, 7.760665e-001,-3.867527e-001,-3.883439e-001, 2.946555e-003,-1.322308e-002, 1.029986e-002
 7.051000e-006, 7.760653e-001,-3.865896e-001,-3.885064e-001, 2.949824e-003,-1.322411e-002, 1.029762e-002
 7.692000e-006, 7.760642e-001,-3.864264e-001,-3.886690e-001, 2.953093e-003,-1.322514e-002, 1.029538e-002
 8.333000e-006, 7.760630e-001,-3.862632e-001,-3.888315e-001, 2.956362e-003,-1.322616e-002, 1.029314e-002
 8.974000e-006, 7.760617e-001,-3.861000e-001,-3.889940e-001, 2.959630e-003,-1.322719e-002, 1.029089e-002
 9.615000e-006, 7.760605e-001,-3.859368e-001,-3.891565e-001, 2.962899e-003,-1.322821e-002, 1.028865e-002
 1.025600e-005, 7.760591e-001,-3.857735e-001,-3.893190e-001, 2.966167e-003,-1.322924e-002, 1.028641e-002
 1.089700e-005, 7.760577e-001,-3.856102e-001,-3.894814e-001, 2.969435e-003,-1.323026e-002, 1.028416e-002
 1.153800e-005, 7.760563e-001,-3.854469e-001,-3.896438e-001, 2.972703e-003,-1.323128e-002, 1.028192e-002
 1.217900e-005, 7.760548e-001,-3.852836e-001,-3.898062e-001, 2.975971e-003,-1.323230e-002, 1.027967e-002
 1.282000e-005, 7.760532e-001,-3.851202e-001,-3.899686e-001, 2.979238e-003,-1.323332e-002, 1.027743e-002
