t,VA,VB,VC,IA,IB,IC    
 0.000000e+000, 7.760437e-001,-3.882927e-001,-3.867709e-001, 2.887080e-003,-1.321531e-002, 1.035196e-002
 6.410000e-007, 7.760430e-001,-3.881298e-001,-3.869337e-001, 2.890355e-003,-1.321635e-002, 1.034973e-002
 1.282000e-006, 7.760423e-001,-3.879668e-001,-3.870965e-001, 2.893631e-003,-1.321740e-002, 1.034750e-002
 1.923000e-006, 7.760415e-001,-3.878039e-001,-3.872592e-001, 2.896906e-003,-1.321844e-002, 1.034527e-002
 2.564000e-006, 7.760407e-001,-3.876409e-001,-3.874219e-001, 2.900180e-003,-1.321948e-002, 1.034303e-002
 3.205000e-006, 7.760398e-001,-3.874778e-001,-3.875846e-001, 2.903455e-003,-1.322052e-002, 1.034080e-002
 3.846000e-006, 7.760389e-001,-3.873148e-001,-3.877473e-001, 2.906729e-003,-1.322156e-002, 1.033856e-002
 4.487000e-006, 7.760380e-001,-3.871517e-001,-3.879099e-001, 2.910004e-003,-1.322260e-002, 1.033633e-002
 5.128000e-006, 7.760370e-001,-3.869886e-001,-3.880725e-001, 2.913278e-003,-1.322363e-002, 1.033409e-002
 5.769000e-006, 7.760359e-001,-3.868255e-001,-3.882351e-001, 2.916552e-003,-1.322467e-002, 1.033186e-002
 6.410000e-006, 7.760348e-001,-3.866624e-001,-3.883977e-001, 2.919826e-003,-1.322571e-002, 1.032962e-002
 7.051000e-006, 7.760337e-001,-3.864993e-001,-3.885603e-001, 2.923099e-003,-1.322674e-002, 1.032738e-002
 7.692000e-006, 7.760325e-001,-3.863361e-001,-3.887228e-001, 2.926373e-003,-1.322778e-002, 1.032514e-002
 8.333000e-006, 7.760313e-001,-3.861729e-001,-3.888853e-001, 2.929646e-003,-1.322881e-002, 1.032291e-002
 8.974000e-006, 7.760300e-001,-3.860097e-001,-3.890478e-001, 2.932919e-003,-1.322984e-002, 1.032067e-002
 9.615000e-006, 7.760287e-001,-3.858464e-001,-3.892102e-001, 2.936192e-003,-1.323088e-002, 1.031843e-002
 1.025600e-005, 7.760273e-001,-3.856831e-001,-3.893727e-001, 2.939465e-003,-1.323191e-002, 1.031619e-002
 1.089700e-005, 7.760259e-001,-3.855199e-001,-3.895351e-001, 2.942737e-003,-1.323294e-002, 1.031394e-002
 1.153800e-005, 7.760245e-001,-3.853565e-001,-3.896975e-001, 2.946010e-003,-1.323397e-002, 1.031170e-002
 1.217900e-005, 7.760230e-001,-3.851932e-001,-3.898599e-001, 2.949282e-003,-1.323500e-002, 1.030946e-002
 1.282000e-005, 7.760214e-001,-3.850299e-001,-3.900222e-001, 2.952554e-003,-1.323602e-002, 1.030722e-002
 1.346100e-005, 7.760198e-001,-3.848665e-001,-3.901845e-001, 2.955826e-003,-1.323705e-002, 1.030497e-002
 1.410200e-005, 7.760181e-001,-3.847031e-001,-3.903468e-001, 2.959098e-003,-1.323808e-002, 1.030273e-002
 1.474300e-005, 7.760165e-001,-3.845396e-001,-3.905091e-001, 2.962369e-003,-1.323910e-002, 1.030049e-002
 1.538400e-005, 7.760147e-001,-3.843762e-001,-3.906714e-001, 2.965641e-003,-1.324013e-002, 1.029824e-002
 1.602500e-005, 7.760130e-001,-3.842127e-001,-3.908336e-001, 2.968912e-003,-1.324115e-002, 1.029599e-002
 1.666600e-005, 7.760112e-001,-3.840492e-001,-3.909958e-001, 2.972183e-003,-1.324218e-002, 1.029375e-002
 1.730700e-005, 7.760093e-001,-3.838857e-001,-3.911580e-001, 2.975454e-003,-1.324320e-002, 1.029150e-002
 1.794800e-005, 7.760074e-001,-3.837222e-001,-3.913202e-001, 2.978724e-003,-1.324422e-002, 1.028925e-002
 1.858900e-005, 7.760054e-001,-3.835586e-001,-3.914823e-001, 2.981995e-003,-1.324524e-002, 1.028700e-002
 1.923000e-005, 7.760034e-001,-3.833950e-001,-3.916444e-001, 2.985265e-003,-1.324626e-002, 1.028476e-002
 1.987100e-005, 7.760014e-001,-3.832314e-001,-3.918065e-001, 2.988535e-003,-1.324728e-002, 1.028251e-002
 2.051200e-005, 7.759993e-001,-3.830678e-001,-3.919686e-001, 2.991805e-003,-1.324830e-002, 1.028026e-002
 2.115300e-005, 7.759972e-001,-3.829042e-001,-3.921306e-001, 2.995075e-003,-1.324932e-002, 1.027801e-002
 2.179400e-005, 7.759950e-001,-3.827405e-001,-3.922927e-001, 2.998345e-003,-1.325034e-002, 1.027575e-002
 2.243500e-005, 7.759928e-001,-3.825768e-001,-3.924547e-001, 3.001614e-003,-1.325136e-002, 1.027350e-002
 2.307600e-005, 7.759905e-001,-3.824131e-001,-3.926167e-001, 3.004884e-003,-1.325237e-002, 1.027125e-002
 2.371700e-005, 7.759882e-001,-3.822494e-001,-3.927786e-001, 3.008153e-003,-1.325339e-002, 1.026900e-002
 2.435800e-005, 7.759858e-001,-3.820856e-001,-3.929406e-001, 3.011422e-003,-1.325440e-002, 1.026674e-002
 2.499900e-005, 7.759834e-001,-3.819218e-001,-3.931025e-001, 3.014690e-003,-1.325542e-002, 1.026449e-002
 2.564000e-005, 7.759809e-001,-3.817580e-001,-3.932644e-001, 3.017959e-003,-1.325643e-002, 1.026223e-002
 2.628100e-005, 7.759784e-001,-3.815942e-001,-3.934262e-001, 3.021227e-003,-1.325744e-002, 1.025998e-002
 2.692200e-005, 7.759759e-001,-3.814303e-001,-3.935881e-001, 3.024496e-003,-1.325845e-002, 1.025772e-002
 2.756300e-005, 7.759733e-001,-3.812664e-001,-3.937499e-001, 3.027764e-003,-1.325946e-002, 1.025547e-002
 2.820400e-005, 7.759707e-001,-3.811026e-001,-3.939117e-001, 3.031031e-003,-1.326047e-002, 1.025321e-002
 2.884500e-005, 7.759680e-001,-3.809386e-001,-3.940735e-001, 3.034299e-003,-1.326148e-002, 1.025095e-002
 2.948600e-005, 7.759653e-001,-3.807747e-001,-3.942352e-001, 3.037567e-003,-1.326249e-002, 1.024869e-002
 3.012700e-005, 7.759625e-001,-3.806107e-001,-3.943970e-001, 3.040834e-003,-1.326350e-002, 1.024643e-002
 3.076800e-005, 7.759597e-001,-3.804468e-001,-3.945587e-001, 3.044101e-003,-1.326450e-002, 1.024417e-002
 3.140900e-005, 7.759569e-001,-3.802827e-001,-3.947203e-001, 3.047368e-003,-1.326551e-002, 1.024191e-002
 3.205000e-005, 7.759539e-001,-3.801187e-001,-3.948820e-001, 3.050635e-003,-1.326651e-002, 1.023965e-002
 3.269100e-005, 7.759510e-001,-3.799547e-001,-3.950436e-001, 3.053902e-003,-1.326752e-002, 1.023739e-002
 3.333200e-005, 7.759480e-001,-3.797906e-001,-3.952053e-001, 3.057168e-003,-1.326852e-002, 1.023513e-002
 3.397300e-005, 7.759449e-001,-3.796265e-001,-3.953668e-001, 3.060434e-003,-1.326953e-002, 1.023286e-002
 3.461400e-005, 7.759418e-001,-3.794624e-001,-3.955284e-001, 3.063700e-003,-1.327053e-002, 1.023060e-002
 3.525500e-005, 7.759387e-001,-3.792982e-001,-3.956900e-001, 3.066966e-003,-1.327153e-002, 1.022834e-002
 3.589600e-005, 7.759355e-001,-3.791341e-001,-3.958515e-001, 3.070232e-003,-1.327253e-002, 1.022607e-002
 3.653700e-005, 7.759323e-001,-3.789699e-001,-3.960130e-001, 3.073498e-003,-1.327353e-002, 1.022381e-002
 3.717800e-005, 7.759290e-001,-3.788057e-001,-3.961745e-001, 3.076763e-003,-1.327453e-002, 1.022154e-002
 3.781900e-005, 7.759258e-001,-3.786415e-001,-3.963359e-001, 3.080028e-003,-1.327552e-002, 1.021928e-002
 3.846000e-005, 7.759224e-001,-3.784772e-001,-3.964973e-001, 3.083293e-003,-1.327652e-002, 1.021701e-002
 3.910100e-005, 7.759190e-001,-3.783129e-001,-3.966587e-001, 3.086558e-003,-1.327752e-002, 1.021474e-002
 3.974200e-005, 7.759156e-001,-3.781486e-001,-3.968201e-001, 3.089823e-003,-1.327852e-002, 1.021247e-002
 4.038300e-005, 7.759120e-001,-3.779843e-001,-3.969815e-001, 3.093087e-003,-1.327951e-002, 1.021020e-002
 4.102400e-005, 7.759085e-001,-3.778200e-001,-3.971428e-001, 3.096352e-003,-1.328050e-002, 1.020794e-002
 4.166500e-005, 7.759049e-001,-3.776556e-001,-3.973041e-001, 3.099616e-003,-1.328150e-002, 1.020567e-002
 4.230600e-005, 7.759013e-001,-3.774913e-001,-3.974654e-001, 3.102880e-003,-1.328249e-002, 1.020340e-002
 4.294700e-005, 7.758976e-001,-3.773268e-001,-3.976267e-001, 3.106143e-003,-1.328348e-002, 1.020112e-002
 4.358800e-005, 7.758939e-001,-3.771624e-001,-3.977880e-001, 3.109407e-003,-1.328447e-002, 1.019885e-002
 4.422900e-005, 7.758901e-001,-3.769980e-001,-3.979492e-001, 3.112670e-003,-1.328546e-002, 1.019658e-002
 4.487000e-005, 7.758863e-001,-3.768335e-001,-3.981104e-001, 3.115934e-003,-1.328645e-002, 1.019431e-002
 4.551100e-005, 7.758824e-001,-3.766690e-001,-3.982715e-001, 3.119197e-003,-1.328744e-002, 1.019203e-002
 4.615200e-005, 7.758785e-001,-3.765045e-001,-3.984327e-001, 3.122459e-003,-1.328843e-002, 1.018976e-002
 4.679300e-005, 7.758746e-001,-3.763400e-001,-3.985938e-001, 3.125722e-003,-1.328942e-002, 1.018749e-002
 4.743400e-005, 7.758706e-001,-3.761754e-001,-3.987549e-001, 3.128985e-003,-1.329040e-002, 1.018521e-002
 4.807500e-005, 7.758666e-001,-3.760108e-001,-3.989160e-001, 3.132247e-003,-1.329139e-002, 1.018293e-002
 4.871600e-005, 7.758625e-001,-3.758462e-001,-3.990771e-001, 3.135509e-003,-1.329238e-002, 1.018066e-002
 4.935700e-005, 7.758583e-001,-3.756816e-001,-3.992381e-001, 3.138771e-003,-1.329336e-002, 1.017838e-002
 4.999800e-005, 7.758542e-001,-3.755170e-001,-3.993991e-001, 3.142033e-003,-1.329434e-002, 1.017610e-002
 5.063900e-005, 7.758499e-001,-3.753523e-001,-3.995601e-001, 3.145294e-003,-1.329532e-002, 1.017382e-002
 5.128000e-005, 7.758457e-001,-3.751876e-001,-3.997211e-001, 3.148556e-003,-1.329631e-002, 1.017155e-002
 5.192100e-005, 7.758414e-001,-3.750229e-001,-3.998820e-001, 3.151817e-003,-1.329729e-002, 1.016927e-002
 5.256200e-005, 7.758370e-001,-3.748582e-001,-4.000429e-001, 3.155078e-003,-1.329827e-002, 1.016699e-002
 5.320300e-005, 7.758327e-001,-3.746934e-001,-4.002038e-001, 3.158339e-003,-1.329925e-002, 1.016471e-002
 5.384400e-005, 7.758282e-001,-3.745286e-001,-4.003647e-001, 3.161599e-003,-1.330023e-002, 1.016243e-002
 5.448500e-005, 7.758237e-001,-3.743638e-001,-4.005255e-001, 3.164860e-003,-1.330120e-002, 1.016014e-002
 5.512600e-005, 7.758192e-001,-3.741990e-001,-4.006864e-001, 3.168120e-003,-1.330218e-002, 1.015786e-002
 5.576700e-005, 7.758146e-001,-3.740342e-001,-4.008472e-001, 3.171380e-003,-1.330316e-002, 1.015558e-002
 5.640800e-005, 7.758099e-001,-3.738693e-001,-4.010080e-001, 3.174640e-003,-1.330413e-002, 1.015329e-002
 5.704900e-005, 7.758053e-001,-3.737044e-001,-4.011687e-001, 3.177900e-003,-1.330511e-002, 1.015101e-002
 5.769000e-005, 7.758005e-001,-3.735395e-001,-4.013294e-001, 3.181159e-003,-1.330608e-002, 1.014873e-002
 5.833100e-005, 7.757958e-001,-3.733746e-001,-4.014902e-001, 3.184419e-003,-1.330706e-002, 1.014644e-002
 5.897200e-005, 7.757910e-001,-3.732096e-001,-4.016508e-001, 3.187678e-003,-1.330803e-002, 1.014415e-002
 5.961300e-005, 7.757861e-001,-3.730446e-001,-4.018115e-001, 3.190937e-003,-1.330900e-002, 1.014187e-002
 6.025400e-005, 7.757812e-001,-3.728797e-001,-4.019721e-001, 3.194196e-003,-1.330997e-002, 1.013958e-002
 6.089500e-005, 7.757763e-001,-3.727146e-001,-4.021327e-001, 3.197454e-003,-1.331094e-002, 1.013729e-002
 6.153600e-005, 7.757713e-001,-3.725496e-001,-4.022933e-001, 3.200713e-003,-1.331191e-002, 1.013500e-002
 6.217700e-005, 7.757663e-001,-3.723845e-001,-4.024539e-001, 3.203971e-003,-1.331288e-002, 1.013272e-002
 6.281800e-005, 7.757612e-001,-3.722194e-001,-4.026144e-001, 3.207229e-003,-1.331385e-002, 1.013043e-002
 6.345900e-005, 7.757561e-001,-3.720543e-001,-4.027750e-001, 3.210487e-003,-1.331481e-002, 1.012814e-002
 6.410000e-005, 7.757509e-001,-3.718892e-001,-4.029354e-001, 3.213745e-003,-1.331578e-002, 1.012585e-002
 6.474100e-005, 7.757457e-001,-3.717241e-001,-4.030959e-001, 3.217002e-003,-1.331675e-002, 1.012355e-002
 6.538200e-005, 7.757404e-001,-3.715589e-001,-4.032564e-001, 3.220259e-003,-1.331771e-002, 1.012126e-002
 6.602300e-005, 7.757351e-001,-3.713937e-001,-4.034168e-001, 3.223517e-003,-1.331867e-002, 1.011897e-002
 6.666400e-005, 7.757298e-001,-3.712285e-001,-4.035772e-001, 3.226773e-003,-1.331964e-002, 1.011668e-002
 6.730500e-005, 7.757244e-001,-3.710633e-001,-4.037376e-001, 3.230030e-003,-1.332060e-002, 1.011438e-002
 6.794600e-005, 7.757189e-001,-3.708980e-001,-4.038979e-001, 3.233287e-003,-1.332156e-002, 1.011209e-002
 6.858700e-005, 7.757134e-001,-3.707327e-001,-4.040583e-001, 3.236543e-003,-1.332252e-002, 1.010979e-002
 6.922800e-005, 7.757079e-001,-3.705674e-001,-4.042186e-001, 3.239799e-003,-1.332348e-002, 1.010750e-002
 6.986900e-005, 7.757023e-001,-3.704021e-001,-4.043789e-001, 3.243055e-003,-1.332444e-002, 1.010520e-002
 7.051000e-005, 7.756967e-001,-3.702368e-001,-4.045391e-001, 3.246311e-003,-1.332540e-002, 1.010291e-002
 7.115100e-005, 7.756910e-001,-3.700714e-001,-4.046994e-001, 3.249567e-003,-1.332636e-002, 1.010061e-002
 7.179200e-005, 7.756853e-001,-3.699060e-001,-4.048596e-001, 3.252822e-003,-1.332732e-002, 1.009831e-002
