t,VA,VB,VC,IA,IB,IC   
 0.000000e+000, 7.759835e-001,-3.887848e-001,-3.862576e-001, 3.093226e-003,-1.328554e-002, 1.021846e-002
 6.410000e-007, 7.759829e-001,-3.886220e-001,-3.864204e-001, 3.096492e-003,-1.328654e-002, 1.021619e-002
 1.282000e-006, 7.759824e-001,-3.884591e-001,-3.865833e-001, 3.099758e-003,-1.328753e-002, 1.021392e-002
 1.923000e-006, 7.759817e-001,-3.882962e-001,-3.867461e-001, 3.103024e-003,-1.328853e-002, 1.021165e-002
 2.564000e-006, 7.759811e-001,-3.881333e-001,-3.869089e-001, 3.106289e-003,-1.328952e-002, 1.020937e-002
 3.205000e-006, 7.759804e-001,-3.879703e-001,-3.870716e-001, 3.109555e-003,-1.329051e-002, 1.020710e-002
 3.846000e-006, 7.759796e-001,-3.878073e-001,-3.872344e-001, 3.112820e-003,-1.329150e-002, 1.020483e-002
 4.487000e-006, 7.759787e-001,-3.876444e-001,-3.873971e-001, 3.116085e-003,-1.329249e-002, 1.020255e-002
 5.128000e-006, 7.759779e-001,-3.874814e-001,-3.875598e-001, 3.119350e-003,-1.329348e-002, 1.020028e-002
 5.769000e-006, 7.759770e-001,-3.873183e-001,-3.877224e-001, 3.122615e-003,-1.329447e-002, 1.019801e-002
 6.410000e-006, 7.759761e-001,-3.871553e-001,-3.878851e-001, 3.125879e-003,-1.329546e-002, 1.019573e-002
 7.051000e-006, 7.759750e-001,-3.869922e-001,-3.880477e-001, 3.129144e-003,-1.329645e-002, 1.019345e-002
 7.692000e-006, 7.759740e-001,-3.868291e-001,-3.882103e-001, 3.132408e-003,-1.329743e-002, 1.019118e-002
 8.333000e-006, 7.759730e-001,-3.866660e-001,-3.883729e-001, 3.135672e-003,-1.329842e-002, 1.018890e-002
 8.974000e-006, 7.759718e-001,-3.865028e-001,-3.885354e-001, 3.138936e-003,-1.329940e-002, 1.018662e-002
 9.615000e-006, 7.759706e-001,-3.863396e-001,-3.886980e-001, 3.142199e-003,-1.330039e-002, 1.018434e-002
 1.025600e-005, 7.759694e-001,-3.861765e-001,-3.888605e-001, 3.145463e-003,-1.330137e-002, 1.018206e-002
 1.089700e-005, 7.759682e-001,-3.860132e-001,-3.890230e-001, 3.148726e-003,-1.330235e-002, 1.017979e-002
