t,VA,VB,VC,IA,IB,IC
 0.000000e+000, 7.757204e-001,-3.885098e-001,-3.862445e-001, 3.056885e-003,-1.335984e-002, 1.032574e-002
 6.410000e-007, 7.757198e-001,-3.883470e-001,-3.864073e-001, 3.060176e-003,-1.336086e-002, 1.032346e-002
 1.282000e-006, 7.757192e-001,-3.881842e-001,-3.865701e-001, 3.063467e-003,-1.336187e-002, 1.032119e-002
 1.923000e-006, 7.757185e-001,-3.880213e-001,-3.867328e-001, 3.066758e-003,-1.336289e-002, 1.031891e-002
 2.564000e-006, 7.757178e-001,-3.878584e-001,-3.868955e-001, 3.070049e-003,-1.336390e-002, 1.031663e-002
 3.205000e-006, 7.757171e-001,-3.876955e-001,-3.870582e-001, 3.073340e-003,-1.336491e-002, 1.031435e-002
 3.846000e-006, 7.757162e-001,-3.875326e-001,-3.872209e-001, 3.076630e-003,-1.336592e-002, 1.031208e-002
 4.487000e-006, 7.757154e-001,-3.873696e-001,-3.873835e-001, 3.079920e-003,-1.336694e-002, 1.030980e-002
 5.128000e-006, 7.757145e-001,-3.872066e-001,-3.875461e-001, 3.083210e-003,-1.336795e-002, 1.030752e-002
 5.769000e-006, 7.757136e-001,-3.870437e-001,-3.877087e-001, 3.086500e-003,-1.336895e-002, 1.030524e-002
 6.410000e-006, 7.757125e-001,-3.868806e-001,-3.878713e-001, 3.089790e-003,-1.336996e-002, 1.030296e-002
 7.051000e-006, 7.757115e-001,-3.867176e-001,-3.880338e-001, 3.093080e-003,-1.337097e-002, 1.030068e-002
 7.692000e-006, 7.757105e-001,-3.865545e-001,-3.881964e-001, 3.096369e-003,-1.337198e-002, 1.029839e-002
 8.333000e-006, 7.757093e-001,-3.863914e-001,-3.883589e-001, 3.099658e-003,-1.337298e-002, 1.029611e-002
 8.974000e-006, 7.757081e-001,-3.862283e-001,-3.885214e-001, 3.102947e-003,-1.337399e-002, 1.029383e-002
 9.615000e-006, 7.757069e-001,-3.860652e-001,-3.886838e-001, 3.106236e-003,-1.337499e-002, 1.029154e-002
 1.025600e-005, 7.757056e-001,-3.859020e-001,-3.888462e-001, 3.109525e-003,-1.337600e-002, 1.028926e-002
 1.089700e-005, 7.757043e-001,-3.857388e-001,-3.890087e-001, 3.112813e-003,-1.337700e-002, 1.028698e-002
 1.153800e-005, 7.757030e-001,-3.855757e-001,-3.891711e-001, 3.116101e-003,-1.337800e-002, 1.028469e-002
 1.217900e-005, 7.757016e-001,-3.854124e-001,-3.893334e-001, 3.119390e-003,-1.337900e-002, 1.028240e-002
 1.282000e-005, 7.757002e-001,-3.852492e-001,-3.894958e-001, 3.122677e-003,-1.338000e-002, 1.028012e-002
 1.346100e-005, 7.756987e-001,-3.850859e-001,-3.896581e-001, 3.125965e-003,-1.338100e-002, 1.027783e-002
 1.410200e-005, 7.756971e-001,-3.849226e-001,-3.898204e-001, 3.129253e-003,-1.338200e-002, 1.027554e-002
 1.474300e-005, 7.756956e-001,-3.847593e-001,-3.899827e-001, 3.132540e-003,-1.338300e-002, 1.027325e-002
 1.538400e-005, 7.756940e-001,-3.845960e-001,-3.901449e-001, 3.135827e-003,-1.338400e-002, 1.027096e-002
 1.602500e-005, 7.756923e-001,-3.844326e-001,-3.903072e-001, 3.139114e-003,-1.338499e-002, 1.026867e-002
 1.666600e-005, 7.756906e-001,-3.842692e-001,-3.904694e-001, 3.142401e-003,-1.338599e-002, 1.026638e-002
 1.730700e-005, 7.756888e-001,-3.841058e-001,-3.906316e-001, 3.145688e-003,-1.338699e-002, 1.026409e-002
 1.794800e-005, 7.756870e-001,-3.839424e-001,-3.907937e-001, 3.148974e-003,-1.338798e-002, 1.026180e-002
 1.858900e-005, 7.756851e-001,-3.837790e-001,-3.909559e-001, 3.152260e-003,-1.338897e-002, 1.025951e-002
 1.923000e-005, 7.756832e-001,-3.836155e-001,-3.911180e-001, 3.155546e-003,-1.338997e-002, 1.025722e-002
 1.987100e-005, 7.756813e-001,-3.834520e-001,-3.912801e-001, 3.158832e-003,-1.339096e-002, 1.025492e-002
 2.051200e-005, 7.756793e-001,-3.832885e-001,-3.914422e-001, 3.162118e-003,-1.339195e-002, 1.025263e-002
 2.115300e-005, 7.756773e-001,-3.831249e-001,-3.916042e-001, 3.165404e-003,-1.339294e-002, 1.025034e-002
 2.179400e-005, 7.756752e-001,-3.829614e-001,-3.917663e-001, 3.168689e-003,-1.339393e-002, 1.024804e-002
 2.243500e-005, 7.756731e-001,-3.827978e-001,-3.919283e-001, 3.171974e-003,-1.339492e-002, 1.024574e-002
 2.307600e-005, 7.756709e-001,-3.826342e-001,-3.920902e-001, 3.175259e-003,-1.339591e-002, 1.024345e-002
 2.371700e-005, 7.756687e-001,-3.824706e-001,-3.922522e-001, 3.178544e-003,-1.339689e-002, 1.024115e-002
 2.435800e-005, 7.756664e-001,-3.823069e-001,-3.924141e-001, 3.181828e-003,-1.339788e-002, 1.023885e-002
 2.499900e-005, 7.756642e-001,-3.821433e-001,-3.925760e-001, 3.185113e-003,-1.339887e-002, 1.023656e-002
 2.564000e-005, 7.756618e-001,-3.819796e-001,-3.927379e-001, 3.188397e-003,-1.339985e-002, 1.023426e-002
 2.628100e-005, 7.756594e-001,-3.818159e-001,-3.928998e-001, 3.191681e-003,-1.340083e-002, 1.023196e-002
 2.692200e-005, 7.756569e-001,-3.816521e-001,-3.930616e-001, 3.194965e-003,-1.340182e-002, 1.022966e-002
 2.756300e-005, 7.756544e-001,-3.814884e-001,-3.932235e-001, 3.198249e-003,-1.340280e-002, 1.022736e-002
 2.820400e-005, 7.756519e-001,-3.813246e-001,-3.933853e-001, 3.201532e-003,-1.340378e-002, 1.022506e-002
 2.884500e-005, 7.756494e-001,-3.811608e-001,-3.935470e-001, 3.204815e-003,-1.340476e-002, 1.022275e-002
 2.948600e-005, 7.756467e-001,-3.809969e-001,-3.937088e-001, 3.208098e-003,-1.340574e-002, 1.022045e-002
