t,VA,VB,VC,IA,IB,IC    
 0.000000e+000, 7.755779e-001,-3.883640e-001,-3.862568e-001, 3.036068e-003,-1.339418e-002, 1.038695e-002
 6.410000e-007, 7.755773e-001,-3.882012e-001,-3.864195e-001, 3.039373e-003,-1.339521e-002, 1.038467e-002
 1.282000e-006, 7.755767e-001,-3.880384e-001,-3.865822e-001, 3.042677e-003,-1.339623e-002, 1.038239e-002
 1.923000e-006, 7.755759e-001,-3.878755e-001,-3.867449e-001, 3.045982e-003,-1.339726e-002, 1.038012e-002
 2.564000e-006, 7.755752e-001,-3.877127e-001,-3.869075e-001, 3.049286e-003,-1.339828e-002, 1.037784e-002
 3.205000e-006, 7.755744e-001,-3.875498e-001,-3.870702e-001, 3.052590e-003,-1.339931e-002, 1.037556e-002
 3.846000e-006, 7.755736e-001,-3.873869e-001,-3.872328e-001, 3.055894e-003,-1.340033e-002, 1.037328e-002
 4.487000e-006, 7.755727e-001,-3.872239e-001,-3.873954e-001, 3.059198e-003,-1.340135e-002, 1.037100e-002
 5.128000e-006, 7.755718e-001,-3.870610e-001,-3.875580e-001, 3.062502e-003,-1.340237e-002, 1.036872e-002
 5.769000e-006, 7.755708e-001,-3.868980e-001,-3.877205e-001, 3.065805e-003,-1.340339e-002, 1.036644e-002
 6.410000e-006, 7.755698e-001,-3.867350e-001,-3.878831e-001, 3.069108e-003,-1.340441e-002, 1.036415e-002
 7.051000e-006, 7.755687e-001,-3.865719e-001,-3.880456e-001, 3.072411e-003,-1.340543e-002, 1.036187e-002
 7.692000e-006, 7.755676e-001,-3.864089e-001,-3.882081e-001, 3.075714e-003,-1.340645e-002, 1.035959e-002
 8.333000e-006, 7.755665e-001,-3.862458e-001,-3.883705e-001, 3.079017e-003,-1.340747e-002, 1.035730e-002
 8.974000e-006, 7.755653e-001,-3.860827e-001,-3.885330e-001, 3.082319e-003,-1.340848e-002, 1.035502e-002
 9.615000e-006, 7.755640e-001,-3.859196e-001,-3.886954e-001, 3.085622e-003,-1.340950e-002, 1.035273e-002
