t,VA,VB,VC,IA,IB,IC
 0.000000e+000, 7.754817e-001,-3.883024e-001,-3.862147e-001, 3.036078e-003,-1.342738e-002, 1.041293e-002
 6.410000e-007, 7.754810e-001,-3.881397e-001,-3.863775e-001, 3.039391e-003,-1.342841e-002, 1.041065e-002
 1.282000e-006, 7.754804e-001,-3.879769e-001,-3.865401e-001, 3.042704e-003,-1.342944e-002, 1.040837e-002
 1.923000e-006, 7.754797e-001,-3.878140e-001,-3.867028e-001, 3.046017e-003,-1.343047e-002, 1.040609e-002
 2.564000e-006, 7.754790e-001,-3.876512e-001,-3.868655e-001, 3.049330e-003,-1.343150e-002, 1.040380e-002
 3.205000e-006, 7.754781e-001,-3.874883e-001,-3.870281e-001, 3.052642e-003,-1.343253e-002, 1.040152e-002
 3.846000e-006, 7.754773e-001,-3.873254e-001,-3.871907e-001, 3.055954e-003,-1.343355e-002, 1.039924e-002
 4.487000e-006, 7.754765e-001,-3.871625e-001,-3.873533e-001, 3.059267e-003,-1.343458e-002, 1.039695e-002
 5.128000e-006, 7.754755e-001,-3.869995e-001,-3.875158e-001, 3.062578e-003,-1.343560e-002, 1.039467e-002
 5.769000e-006, 7.754745e-001,-3.868366e-001,-3.876784e-001, 3.065890e-003,-1.343663e-002, 1.039238e-002
 6.410000e-006, 7.754735e-001,-3.866736e-001,-3.878409e-001, 3.069202e-003,-1.343765e-002, 1.039009e-002
 7.051000e-006, 7.754724e-001,-3.865106e-001,-3.880034e-001, 3.072513e-003,-1.343867e-002, 1.038780e-002
 7.692000e-006, 7.754713e-001,-3.863476e-001,-3.881658e-001, 3.075824e-003,-1.343969e-002, 1.038552e-002
 8.333000e-006, 7.754701e-001,-3.861845e-001,-3.883283e-001, 3.079135e-003,-1.344072e-002, 1.038323e-002
 8.974000e-006, 7.754689e-001,-3.860214e-001,-3.884907e-001, 3.082446e-003,-1.344173e-002, 1.038094e-002
 9.615000e-006, 7.754677e-001,-3.858584e-001,-3.886531e-001, 3.085756e-003,-1.344275e-002, 1.037865e-002
 1.025600e-005, 7.754664e-001,-3.856952e-001,-3.888155e-001, 3.089067e-003,-1.344377e-002, 1.037636e-002
 1.089700e-005, 7.754651e-001,-3.855321e-001,-3.889778e-001, 3.092377e-003,-1.344479e-002, 1.037407e-002
 1.153800e-005, 7.754637e-001,-3.853689e-001,-3.891402e-001, 3.095687e-003,-1.344581e-002, 1.037178e-002
 1.217900e-005, 7.754623e-001,-3.852057e-001,-3.893025e-001, 3.098997e-003,-1.344682e-002, 1.036948e-002
 1.282000e-005, 7.754608e-001,-3.850425e-001,-3.894648e-001, 3.102307e-003,-1.344784e-002, 1.036719e-002
 1.346100e-005, 7.754593e-001,-3.848793e-001,-3.896270e-001, 3.105616e-003,-1.344885e-002, 1.036490e-002
 1.410200e-005, 7.754577e-001,-3.847160e-001,-3.897893e-001, 3.108926e-003,-1.344987e-002, 1.036260e-002
 1.474300e-005, 7.754561e-001,-3.845527e-001,-3.899515e-001, 3.112235e-003,-1.345088e-002, 1.036031e-002
 1.538400e-005, 7.754545e-001,-3.843895e-001,-3.901137e-001, 3.115544e-003,-1.345189e-002, 1.035801e-002
 1.602500e-005, 7.754527e-001,-3.842261e-001,-3.902758e-001, 3.118853e-003,-1.345290e-002, 1.035572e-002
 1.666600e-005, 7.754510e-001,-3.840628e-001,-3.904380e-001, 3.122161e-003,-1.345391e-002, 1.035342e-002
 1.730700e-005, 7.754492e-001,-3.838994e-001,-3.906001e-001, 3.125470e-003,-1.345492e-002, 1.035112e-002
 1.794800e-005, 7.754474e-001,-3.837360e-001,-3.907622e-001, 3.128778e-003,-1.345593e-002, 1.034883e-002
